Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.261: [GC (Allocation Failure) 3.261: [DefNew: 960K->64K(960K), 0.0016817 secs] 35848K->35386K(524224K), 0.0017776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.264: [GC (Allocation Failure) 3.264: [DefNew: 960K->64K(960K), 0.0017117 secs] 36282K->35820K(524224K), 0.0018234 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.268: [GC (Allocation Failure) 3.268: [DefNew: 960K->64K(960K), 0.0021510 secs] 36716K->36253K(524224K), 0.0022695 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.272: [GC (Allocation Failure) 3.272: [DefNew: 960K->64K(960K), 0.0022043 secs] 37149K->36687K(524224K), 0.0023283 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.275: [GC (Allocation Failure) 3.276: [DefNew: 960K->64K(960K), 0.0025939 secs] 37583K->37121K(524224K), 0.0027305 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.279: [GC (Allocation Failure) 3.279: [DefNew: 960K->64K(960K), 0.0016513 secs] 38017K->37555K(524224K), 0.0017579 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.282: [GC (Allocation Failure) 3.282: [DefNew: 960K->64K(960K), 0.0022600 secs] 38451K->37989K(524224K), 0.0023745 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.286: [GC (Allocation Failure) 3.286: [DefNew: 960K->64K(960K), 0.0024795 secs] 38885K->38423K(524224K), 0.0026003 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.289: [GC (Allocation Failure) 3.289: [DefNew: 960K->64K(960K), 0.0016647 secs] 39319K->38857K(524224K), 0.0017480 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.293: [GC (Allocation Failure) 3.293: [DefNew: 960K->64K(960K), 0.0020018 secs] 39753K->39291K(524224K), 0.0021084 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.297: [GC (Allocation Failure) 3.297: [DefNew: 960K->64K(960K), 0.0026086 secs] 40187K->39724K(524224K), 0.0027278 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.301: [GC (Allocation Failure) 3.301: [DefNew: 960K->64K(960K), 0.0018814 secs] 40620K->40158K(524224K), 0.0019833 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.304: [GC (Allocation Failure) 3.304: [DefNew: 960K->64K(960K), 0.0020401 secs] 41054K->40592K(524224K), 0.0021431 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.307: [GC (Allocation Failure) 3.307: [DefNew: 960K->64K(960K), 0.0025643 secs] 41488K->41026K(524224K), 0.0026654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.311: [GC (Allocation Failure) 3.311: [DefNew: 960K->64K(960K), 0.0022162 secs] 41922K->41460K(524224K), 0.0023405 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.315: [GC (Allocation Failure) 3.315: [DefNew: 960K->64K(960K), 0.0016896 secs] 42356K->41894K(524224K), 0.0017882 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.318: [GC (Allocation Failure) 3.318: [DefNew: 960K->64K(960K), 0.0024822 secs] 42790K->42328K(524224K), 0.0025939 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
